Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Iron deficiency with and without anaemia,161456009,251611012,H/O: anaemia - iron deficient
Iron deficiency with and without anaemia,87522002,507616014,Asiderotic anaemia
Iron deficiency with and without anaemia,87522002,507616014,Sideropenic anaemia
Iron deficiency with and without anaemia,87522002,507616014,Iron deficiency anaemia
Iron deficiency with and without anaemia,413533008,2532901013,Anaemia due to chronic blood loss
Iron deficiency with and without anaemia,234352004,351092018,Normocytic anaemia due to chronic blood loss
Iron deficiency with and without anaemia,413533008,2532901013,Iron deficiency anaemia due to blood loss
Iron deficiency with and without anaemia,191128004,293864013,Iron deficiency anaemia due to dietary causes
Iron deficiency with and without anaemia,87522002,507616014,Iron deficiency anemia
Iron deficiency with and without anaemia,80126007,132937017,Kelly - Paterson syndrome
Iron deficiency with and without anaemia,80126007,132937017,Plummer - Vinson syndrome
Iron deficiency with and without anaemia,80126007,132939019,Sideropenic dysphagia
Iron deficiency with and without anaemia,80126007,132937017,Kelly-Paterson syndrome
Iron deficiency with and without anaemia,80126007,132937017,Plummer-Vinson syndrome
Iron deficiency with and without anaemia,87522002,507616014,Unspecified iron deficiency anaemia
Iron deficiency with and without anaemia,80875006,504528016,Achlorhydric anaemia
Iron deficiency with and without anaemia,87522002,507623010,Chlorotic anaemia
Iron deficiency with and without anaemia,87522002,507616014,Iron deficiency anaemia NOS
Iron deficiency with and without anaemia,87522002,507616014,[X]Other iron deficiency anaemias
